"GRID_ID","M000","M005","M010","M015","M020","M025","M030","M035","M040","M045","M050","M055","M060","M065","M070","M075","M080","M085","M090","M095","M100","F000","F005","F010","F015","F020","F025","F030","F035","F040","F045","F050","F055","F060","F065","F070","F075","F080","F085","F090","F095","F100"
"I-15",248.545893395285,345.628982394615,319.000588326867,157.189045274613,102.286493896746,116.243620301377,166.973481292188,356.167399583169,405.844592131869,382.519045778796,180.112615278642,153.114961605374,119.61845106102,39.2774375695538,12.830978524092,2.931869431864,0,0,0,0,0,225.261162087494,368.267993357489,295.214153217121,201.035936098771,116.625187804765,133.546513403784,208.975084594562,436.540405162314,448.841361793677,292.38250756621,191.312627648611,153.792232846581,114.003390487355,36.125662529923,7.670685596618,10.963097209162,0.856086408144,0,0,0,0
"I-16",416.266789324909,521.556840895415,405.719278851268,292.192255798152,344.652161510267,413.205305990972,439.838443353924,630.199138590673,628.870798518401,517.791262908719,464.805406837501,406.396888894648,347.071593852402,216.864244780671,112.298610876571,80.958890186875,40.7981709201673,0,0,0,0,377.855909704798,465.765570982692,358.260205268912,280.303234272242,406.291374550648,454.574284266523,428.227637040742,721.846208863525,600.434415103279,506.690391303444,502.454340743342,435.207664891929,376.853738199982,218.183557816191,134.039713626309,105.904574778715,67.944130066983,14.4979874126927,0.0243348761567,0.01216743807835,0
"I-17",87.3385033126298,130.414813554157,138.789302942682,124.896961225581,203.60777170697,226.755508132976,178.596061638884,213.718288241903,203.450100632761,270.704721906212,246.868583364811,310.188242738746,244.473664767001,176.685908692311,107.915082734305,69.214248588597,22.6533445390774,5,0,0,0,106.988996403211,121.617440881904,124.062146654846,120.435849203595,171.756847275609,182.816446800916,147.599710862385,192.480534785981,180.184699114638,245.936017749691,293.247087003383,341.961452146745,264.883648748956,181.076490455418,133.545402030226,120.157412199072,68.5220951730094,13.1306712394042,0.5842469015686,0.347128095284,0
"I-18",2.7383521297158,1.8724482093944,2.0695480209096,2.8579472669704,6.5565441764658,7.2421844704696,6.0595856013784,4.6967231059696,7.1478436110114,7.0450846589544,11.6432578591664,9.2948963061816,13.9832013195524,11.6222126276694,7.1267983795144,7.1352164721132,4.7910639654278,0,0,0,0,1.6753483978792,0.985499057576,1.2811487748488,1.8724482093944,3.6253012815342,6.3552353186512,1.1825988690912,4.8980319637842,4.8980319637842,6.4579942707082,8.703596871636,10.7689358462462,16.7990581235288,7.5252070488442,7.8250658124164,9.3766100267416,6.6635121748222,3.5267513757766,0.985499057576,0.492749528788,0
"I-19",0.9044024607717,1.8118867960291,2.0026117219269,2.7655114255181,4.09048995657466,5.10805576218962,2.7332448626325,2.81196662471741,4.83975816269357,5.27151769314284,7.1102486450167,8.34567873489677,8.68960512944832,5.86938753819434,5.36463549175644,4.84207147088046,4.49141612260383,0.881870016333022,0,0,0,1.6211618701313,0.956022713352022,1.2397120183357,1.8118867960291,2.99632341663282,3.02053129341071,1.14674763924982,2.2992754900792,2.29807644814768,3.46944273736294,4.60300851322917,6.9628430517178,8.62400365219673,4.86917298038505,5.15742025789092,5.9690808710053,7.3626660440353,3.07925342404094,2.71456689764818,0.4768123147445,0
"I-2",0,0,0.06563563323318,0.06563563323318,0.16773550715146,0.17502835528848,0.18961405156252,0.16773550715146,0.16044265901444,0.26254253293272,0.33547101430292,0.43027804008418,0.30629962175484,0.26983538106974,0.1823212034255,0.15314981087742,0.06563563323318,0,0,0,0,0.05834278509616,0.04375708882212,0,0.05104993695914,0.10209987391828,0.12397841832934,0.09480702578126,0.12397841832934,0.08751417764424,0.13856411460338,0.23337114038464,0.32088531802888,0.28442107734378,0.23337114038464,0.17502835528848,0.2187854441106,0.19690689969954,0.04375708882212,0,0,0
"I-20",0,0,0,0.8925326282424,2.501416757126,3.5222514370462,1.791574036451,2.0147071935116,3.4074304685328,4.7392571076982,4.2320941577212,7.8896199496434,7.0919184267838,5.983224944679,6.7809264675386,5.0502490669434,5.4356187452088,1.926848391327,0,0,0,0,0,0,0.371888595101,1.656299681575,2.0147071935116,0,0.371888595101,0.4462663141212,1.8659517554712,3.3330527495126,4.2051319913924,7.740864511603,5.1246267859636,5.0232869006146,7.808733450657,8.4916140050032,4.2730009304464,3.5561859065732,0.743777190202,0
"I-21",0.2356733201872,0.589183300468,0.3240508152574,0.653144545937,2.5841703677975,3.4907754098246,2.0499863957941,2.2206373235342,3.3134633617168,4.474652813674,4.2900918670386,7.3962380820389,6.7781206278455,5.4929904533944,5.6692204322368,4.2873497482531,4.4024233672739,1.606438870923,0,0,0,0.2062141551638,0.3240508152574,0.3240508152574,0.4218943163427,1.963268950244,2.132259828464,0.4124283103276,0.7754042966235,0.842107660878,1.8220981098146,3.0700050073219,4.3440091262378,7.2039130234831,4.530808102648,4.1939711823353,6.3207049286537,6.9382653248797,3.0778318861042,2.7693092946876,0.372441992311,0
"I-22",1.70963446784,4.2740861696,2.35074739328,1.49593015936,3.36750948826683,3.4179049219367,4.17000510645719,4.59575371879122,4.66108919409482,4.76765860761387,4.57194817258574,5.41902755169236,6.62595789951294,4.83465408754344,0.40555906626316,1.56348780760604,0.29593582092597,1.16015091428532,0,0,0,1.49593015936,2.35074739328,2.35074739328,1.70963446784,3.3199017089813,3.95298078872525,2.99186031872,4.2740861696,4.48779047808,2.2516463440151,3.20001913188019,6.46427921587991,4.55259028539057,3.07601801322574,2.39559733163006,2.1021796745292,3.4007393942351,1.24567262253436,0.19155876690049,0,0
"I-23",0.109269806016,0.27317451504,0.150245983272,0.095611080264,1.907288807499,0.20488088628,1.583610839125,1.421771854938,1.421771854938,4.259118390303,4.434616100242,5.610530891644,4.55754463201,4.448274825994,3.404815842438,2.351829582804,2.080720792601,1.203232242906,0,0,0,0.095611080264,0.150245983272,0.150245983272,0.109269806016,0.20488088628,1.191639241991,0.191222160528,0.27317451504,0.286833240792,2.02815161443,5.298445924185,4.746701067701,4.231800938799,4.339005019978,3.541403099958,3.892398519836,3.974350874348,5.364673828108,3.215659406747,0,0
