자연녹지지역,주거지역,준주거지역,상업지역,공업지역,근린상업지역,GRID_ID
113266.123502,1514495.0538976,0.0,0.0,0.0,31303.8434822,M-14
0.0,1389244.8176,44737.3004442,228593.782392,0.0,0.0,M-15
732854.1991976,929913.3904664,0.0,0.0,0.0,0.0,M-16
1662768.7031597,0.0,0.0,0.0,0.0,0.0,M-17
1662768.9512516,0.0,0.0,0.0,0.0,0.0,M-18
1662768.7224542,0.0,0.0,0.0,0.0,0.0,M-19
2054652.827268,0.0,0.0,0.0,0.0,0.0,M-2
1662768.72,0.0,0.0,0.0,0.0,0.0,M-20
1662768.72,0.0,0.0,0.0,0.0,0.0,M-21
1662618.5129932,0.0,0.0,0.0,0.0,0.0,M-22
1659967.22325717,0.0,0.0,0.0,0.0,0.0,M-23
1661891.411888,0.0,0.0,0.0,0.0,0.0,M-24
1908385.63593,0.0,0.0,0.0,0.0,0.0,M-3
1924269.079173,48419.6252541,0.0,0.0,72423.4910777,0.0,M-4
1762903.7900186,188271.7761269,0.0,0.0,1374358.5668,0.0,M-5
2274811.4451254,0.0,0.0,0.0,913251.574344,0.0,M-6
2327388.011215,32792.3615986,17281.1916158,16013.5831589,809065.309431,0.0,M-7
3045162.66318,153274.3176436,0.0,0.0,127416.168019,0.0,M-8
2530338.082146,685889.193425,30604.7638845,0.0,69852.4343672,3707.68886238,M-9
3183970.473453,38992.921863015,0.0,0.0,102573.489668,0.0,N-10
2408918.2985098,610452.2466708,0.0,0.0,306198.02177,0.0,N-11
2071696.9313193,1055581.37987616,0.0,0.0,157110.153052,41145.0553283,N-12
2058790.507369,1190962.2197484,75074.5467969,0.0,0.0,0.0,N-13
1285860.104944,1137823.122735,0.0,281403.851964,0.0,0.0,N-14
25624.9501372,793296.6713539,6494.90370165,837351.025475,0.0,0.0,N-15
669846.6846867,989198.282498,0.0,3717.92942248,0.0,0.0,N-16
1662768.8389159,0.0,0.0,0.0,0.0,0.0,N-17
1706394.9967622,0.0,0.0,0.0,0.0,0.0,N-18
1662214.631131,0.0,0.0,0.0,0.0,0.0,N-19
1662768.96,0.0,0.0,0.0,0.0,0.0,N-20
1662773.61107365,0.0,0.0,0.0,0.0,0.0,N-21
1662768.715348,0.0,0.0,0.0,0.0,0.0,N-22
1661515.1103629,0.0,0.0,0.0,0.0,0.0,N-23
1658703.2875285,0.0,0.0,0.0,0.0,0.0,N-24
1659991.6557884,0.0,0.0,0.0,0.0,0.0,N-25
2036630.202088,686530.2543042,19783.7579222,78553.0846088,226025.500275,0.0,N-5
2446777.360266,739858.32314761,0.0,0.0,138968.046448,0.0,N-6
2627423.506927,69141.58919744,0.0,0.0,618889.98284,0.0,N-7
3116559.5246,0.0,0.0,0.0,207207.493731,0.0,N-8
2862614.51112,448109.736038,0.0,0.0,0.0,13409.5630137,N-9
3324296.46404,1241.591394137,0.0,0.0,0.0,0.0,O-10
2371259.635853,892430.624339,0.0,0.0,0.0,61863.9395243,O-11
1940392.73286,1299854.4275603,18605.0371977,60596.8868834,0.0,5460.97150241,O-12
1694233.0101961,1504155.5346846,11229.0619246,98138.1900935,0.0,17585.6990645,O-13
1693440.906743,610679.2614161,0.0,750049.76895,163353.4914864,0.0,O-14
634975.9939873,983227.3633991,37709.6666989,532185.379775,0.0,13271.3765968,O-15
776053.11049157,852850.8453746,33158.3728134,0.0,0.0,706.476819725,O-16
2020225.5517978,0.0,0.0,0.0,0.0,0.0,O-17
2710938.5819689,0.0,0.0,0.0,0.0,0.0,O-18
2121241.313897,0.0,0.0,0.0,0.0,0.0,O-19
2883131.21838,0.0,0.0,0.0,0.0,0.0,O-20
1901338.407475,0.0,0.0,0.0,0.0,0.0,O-21
